be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
22,103,0,0.00931271,0.084797,0.994023,-0.109167,0.201838,0.681628,-6.53158,-0.136756,0.0150191
22,103,1,0.0347555,0.316467,0.994023,-0.109167,0.201838,0.681628,-6.53158,-0.136756,0.0150191
23,30,0,0.0339046,17.7189,0.992803,0.119758,0.179485,0.695614,-3.73425,-0.123954,-0.014952
23,30,1,0.00908472,17.9247,0.992803,0.119758,0.179485,0.695614,-3.73425,-0.123954,-0.014952
24,21,0,18.7373,-11.7526,-0.975696,-0.21913,0.193077,0.539958,-34.8656,0.10172,0.0228451
24,21,1,18.7861,-11.9702,-0.975696,-0.21913,0.193077,0.539958,-34.8656,0.10172,0.0228451
25,108,0,18.7635,6.02658,0.88367,0.46811,0.204445,0.553522,-32.1528,-0.1,-0.0529734
25,108,1,18.653,6.23519,0.88367,0.46811,0.204445,0.553522,-32.1528,-0.1,-0.0529734
26,24,0,1.64218,3.67082,0.811656,-0.584136,0.304531,0.645585,-13.7401,-0.159572,0.114841
26,24,1,1.84759,3.95623,0.811656,-0.584136,0.304531,0.645585,-13.7401,-0.159572,0.114841
27,86,0,1.35634,3.24381,0.837238,-0.546839,0.24423,0.648246,-13.208,-0.132553,0.0865762
27,86,1,1.51055,3.47993,0.837238,-0.546839,0.24423,0.648246,-13.208,-0.132553,0.0865762
28,95,0,2.79705,5.08433,0.712797,-0.701371,0.304568,0.635404,-15.7763,-0.137943,0.135732
28,95,1,3.04371,5.335,0.712797,-0.701371,0.304568,0.635404,-15.7763,-0.137943,0.135732
29,87,0,3.2119,5.49854,0.677653,-0.735382,0.250629,0.632082,-16.4408,-0.107353,0.116498
29,87,1,3.42472,5.69466,0.677653,-0.735382,0.250629,0.632082,-16.4408,-0.107353,0.116498
30,94,0,4.86182,6.76405,0.491489,-0.870884,0.436915,0.615181,-19.8209,-0.132103,0.234078
30,94,1,5.30118,7.01201,0.491489,-0.870884,0.436915,0.615181,-19.8209,-0.132103,0.234078
31,101,0,4.37358,6.45147,0.560884,-0.827894,0.250729,0.621087,-18.6398,-0.0873435,0.128924
31,101,1,4.61326,6.61386,0.560884,-0.827894,0.250729,0.621087,-18.6398,-0.0873435,0.128924
32,100,0,6.43307,7.48539,0.259717,-0.965685,0.404445,0.589868,-24.8836,-0.0619604,0.230383
32,100,1,6.88406,7.60668,0.259717,-0.965685,0.404445,0.589868,-24.8836,-0.0619604,0.230383
33,106,0,5.63233,7.17425,0.386945,-0.922103,0.437042,0.601936,-22.4699,-0.101794,0.242579
33,106,1,6.09767,7.36952,0.386945,-0.922103,0.437042,0.601936,-22.4699,-0.101794,0.242579
34,93,0,7.2152,7.66804,0.101606,-0.994825,0.394977,0.574835,-27.8901,-0.0230693,0.225872
34,93,1,7.66892,7.71438,0.101606,-0.994825,0.394977,0.574835,-27.8901,-0.0230693,0.225872
35,4,0,8.00166,7.7181,-0.0791859,-0.99686,0.395577,0.55443,-31.9711,0.017367,0.218631
35,4,1,8.457,7.68193,-0.0791859,-0.99686,0.395577,0.55443,-31.9711,0.017367,0.218631
36,36,0,8.78815,7.62438,-0.260101,-0.965581,0.403036,0.534228,-36.0115,0.0560032,0.207903
36,36,1,9.23751,7.50334,-0.260101,-0.965581,0.403036,0.534228,-36.0115,0.0560032,0.207903
37,76,0,9.57534,7.37607,-0.431713,-0.902011,0.454683,0.518333,-39.1904,0.101745,0.212584
37,76,1,10.0489,7.14941,-0.431713,-0.902011,0.454683,0.518333,-39.1904,0.101745,0.212584
38,57,0,10.3801,6.95705,-0.569728,-0.821833,0.454314,0.51016,-40.8251,0.132047,0.190479
38,57,1,10.8112,6.65817,-0.569728,-0.821833,0.454314,0.51016,-40.8251,0.132047,0.190479
39,74,0,11.0604,6.46926,-0.656477,-0.754346,0.286578,0.493791,-44.0989,0.0928978,0.106747
39,74,1,11.31,6.25203,-0.656477,-0.754346,0.286578,0.493791,-44.0989,0.0928978,0.106747
