be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
22,103,0,0.00305974,0.0278605,0.994023,-0.109167,0.0702104,0.659296,-10.9979,-0.0460128,0.00505329
22,103,1,0.0145429,0.132421,0.994023,-0.109167,0.131628,0.667446,-9.36797,-0.0873294,0.00959082
22,103,2,0.0295253,0.268843,0.994023,-0.109167,0.131628,0.667887,-9.27977,-0.0873871,0.00959716
22,103,3,0.0410085,0.373403,0.994023,-0.109167,0.0702104,0.66027,-10.8032,-0.0460807,0.00506075
23,30,0,0.0400045,17.6684,0.992803,0.119758,0.0624346,0.676787,-7.49969,-0.0419508,-0.00506036
23,30,1,0.0288025,17.7612,0.992803,0.119758,0.11705,0.682583,-6.34052,-0.0793213,-0.00956821
23,30,2,0.0141869,17.8824,0.992803,0.119758,0.11705,0.680342,-6.78884,-0.0790609,-0.00953679
23,30,3,0.00298483,17.9753,0.992803,0.119758,0.0624346,0.670861,-8.68486,-0.0415835,-0.00501605
24,21,0,18.7252,-11.6992,-0.975696,-0.21913,0.0671629,0.551342,-32.5888,0.0361297,0.00811433
24,21,1,18.7473,-11.7973,-0.975696,-0.21913,0.125914,0.558464,-31.1643,0.0686097,0.015409
24,21,2,18.7761,-11.9254,-0.975696,-0.21913,0.125914,0.570685,-28.7201,0.070111,0.0157461
24,21,3,18.7981,-12.0236,-0.975696,-0.21913,0.0671629,0.582061,-26.445,0.0381427,0.00856643
25,108,0,18.7907,5.97531,0.88367,0.46811,0.071117,0.582995,-26.2582,-0.0366377,-0.0194082
25,108,1,18.7408,6.06947,0.88367,0.46811,0.133328,0.573639,-28.1294,-0.0675848,-0.0358019
25,108,2,18.6758,6.19231,0.88367,0.46811,0.133328,0.565954,-29.6664,-0.0666793,-0.0353223
25,108,3,18.6259,6.28646,0.88367,0.46811,0.071117,0.563671,-30.1229,-0.0354234,-0.018765
26,24,0,1.5917,3.60067,0.811656,-0.584136,0.105932,0.633076,-16.2419,-0.0544323,0.0391741
26,24,1,1.68441,3.72949,0.811656,-0.584136,0.198598,0.636654,-15.5264,-0.102624,0.0738571
26,24,2,1.80536,3.89756,0.811656,-0.584136,0.198598,0.636083,-15.6405,-0.102532,0.073791
26,24,3,1.89807,4.02637,0.811656,-0.584136,0.105932,0.631601,-16.537,-0.0543055,0.0390828
27,86,0,1.31844,3.18578,0.837238,-0.546839,0.0849567,0.636408,-15.5755,-0.0452671,0.029566
27,86,1,1.38804,3.29235,0.837238,-0.546839,0.159274,0.639534,-14.9503,-0.0852818,0.0557015
27,86,2,1.47885,3.43139,0.837238,-0.546839,0.159274,0.639137,-15.0298,-0.0852288,0.0556669
27,86,3,1.54845,3.53795,0.837238,-0.546839,0.0849567,0.635388,-15.7796,-0.0451945,0.0295186
28,95,0,2.73643,5.02272,0.712797,-0.701371,0.105945,0.620407,-18.7758,-0.0468516,0.0461006
28,95,1,2.84776,5.13586,0.712797,-0.701371,0.198623,0.625095,-17.8381,-0.0884995,0.0870808
28,95,2,2.99301,5.28347,0.712797,-0.701371,0.198623,0.625412,-17.7748,-0.0885443,0.0871249
28,95,3,3.10433,5.39661,0.712797,-0.701371,0.105945,0.621204,-18.6163,-0.0469119,0.0461599
29,87,0,3.15959,5.45034,0.677653,-0.735382,0.0871827,0.616059,-19.6453,-0.0363965,0.0394971
29,87,1,3.25565,5.53886,0.677653,-0.735382,0.163447,0.620511,-18.7549,-0.068728,0.0745828
29,87,2,3.38097,5.65434,0.677653,-0.735382,0.163447,0.62121,-18.6151,-0.0688054,0.0746668
29,87,3,3.47702,5.74286,0.677653,-0.735382,0.0871827,0.617828,-19.2916,-0.036501,0.0396105
30,94,0,4.75384,6.70311,0.491489,-0.870884,0.151983,0.595008,-23.8555,-0.0444459,0.0787549
30,94,1,4.95214,6.81502,0.491489,-0.870884,0.284932,0.605022,-21.8527,-0.0847279,0.150132
30,94,2,5.21086,6.96104,0.491489,-0.870884,0.284932,0.603236,-22.2099,-0.0844778,0.149689
30,94,3,5.40916,7.07295,0.491489,-0.870884,0.151983,0.590302,-24.7967,-0.0440944,0.078132
31,101,0,4.31467,6.41156,0.560884,-0.827894,0.0872174,0.602601,-22.3369,-0.0294786,0.0435119
31,101,1,4.42285,6.48485,0.560884,-0.827894,0.163512,0.607353,-21.3864,-0.0557012,0.0822178
31,101,2,4.56399,6.58047,0.560884,-0.827894,0.163512,0.607274,-21.4022,-0.0556939,0.0822071
31,101,3,4.67217,6.65376,0.560884,-0.827894,0.0872174,0.602393,-22.3786,-0.0294684,0.0434969
32,100,0,6.32223,7.45558,0.259717,-0.965685,0.140688,0.556172,-31.6227,-0.020322,0.0755619
32,100,1,6.52578,7.51032,0.259717,-0.965685,0.263757,0.576117,-27.6338,-0.0394652,0.14674
32,100,2,6.79135,7.58175,0.259717,-0.965685,0.263757,0.575329,-27.7914,-0.0394112,0.14654
32,100,3,6.99489,7.63649,0.259717,-0.965685,0.140688,0.554126,-32.0319,-0.0202473,0.0752839
33,106,0,5.51796,7.12625,0.386945,-0.922103,0.152027,0.575757,-27.7058,-0.0338696,0.0807123
33,106,1,5.72799,7.21439,0.386945,-0.922103,0.285015,0.593911,-24.0749,-0.0654995,0.156088
33,106,2,6.00201,7.32938,0.386945,-0.922103,0.285015,0.591981,-24.4609,-0.0652867,0.15558
33,106,3,6.21203,7.41751,0.386945,-0.922103,0.152027,0.570653,-28.7265,-0.0335693,0.0799969
34,93,0,7.10369,7.65665,0.101606,-0.994825,0.137395,0.52719,-37.4192,-0.00735963,0.0720582
34,93,1,7.30847,7.67756,0.101606,-0.994825,0.257582,0.555339,-31.7893,-0.0145343,0.142305
34,93,2,7.57565,7.70485,0.101606,-0.994825,0.257582,0.55771,-31.3152,-0.0145963,0.142913
34,93,3,7.78043,7.72577,0.101606,-0.994825,0.137395,0.533233,-36.2105,-0.007444,0.0728843
35,4,0,7.88975,7.72699,-0.0791859,-0.99686,0.137603,0.495333,-43.7906,0.00539727,0.0679454
35,4,1,8.09526,7.71066,-0.0791859,-0.99686,0.257974,0.535836,-35.69,0.010946,0.137797
35,4,2,8.3634,7.68937,-0.0791859,-0.99686,0.257974,0.542557,-34.3458,0.0110833,0.139526
35,4,3,8.56891,7.67304,-0.0791859,-0.99686,0.137603,0.512555,-40.3462,0.00558492,0.0703078
36,36,0,8.67771,7.65413,-0.260101,-0.965581,0.140198,0.471246,-48.608,0.0171843,0.0637939
36,36,1,8.88052,7.5995,-0.260101,-0.965581,0.262838,0.521159,-38.6254,0.0356287,0.132266
36,36,2,9.14514,7.52822,-0.260101,-0.965581,0.262838,0.528475,-37.1622,0.0361289,0.134123
36,36,3,9.34795,7.47359,-0.260101,-0.965581,0.140198,0.48968,-44.9211,0.0178565,0.0662894
37,76,0,9.45895,7.43177,-0.431713,-0.902011,0.158164,0.45485,-51.8871,0.0310578,0.0648914
37,76,1,9.67269,7.32947,-0.431713,-0.902011,0.29652,0.515024,-39.8523,0.0659289,0.13775
37,76,2,9.95156,7.196,-0.431713,-0.902011,0.29652,0.520479,-38.7614,0.0666271,0.139209
37,76,3,10.1653,7.0937,-0.431713,-0.902011,0.158164,0.468982,-49.0607,0.0320227,0.0669076
38,57,0,10.2741,7.0305,-0.569728,-0.821833,0.158035,0.459565,-50.9441,0.0413779,0.0596877
38,57,1,10.4687,6.89561,-0.569728,-0.821833,0.296278,0.50179,-42.4991,0.0847013,0.122182
38,57,2,10.7226,6.71961,-0.569728,-0.821833,0.296278,0.509035,-41.0501,0.0859242,0.123946
38,57,3,10.9171,6.58472,-0.569728,-0.821833,0.158035,0.478425,-47.1721,0.043076,0.0621372
39,74,0,10.999,6.52265,-0.656477,-0.754346,0.0996875,0.447741,-53.309,0.0293013,0.0336696
39,74,1,11.1117,6.4246,-0.656477,-0.754346,0.18689,0.478667,-47.1237,0.0587273,0.0674825
39,74,2,11.2587,6.29668,-0.656477,-0.754346,0.18689,0.49028,-44.8012,0.0601521,0.0691196
39,74,3,11.3713,6.19864,-0.656477,-0.754346,0.0996875,0.477589,-47.3393,0.0312547,0.0359142
40,12,0,12.5633,4.84622,-0.817015,-0.576616,0.118807,0.459001,-51.0569,0.0445538,0.0314443
40,12,1,12.666,4.70079,-0.817015,-0.576616,0.222735,0.473373,-48.1826,0.0861432,0.0607964
40,12,2,12.7999,4.51105,-0.817015,-0.576616,0.222735,0.476384,-47.5803,0.0866912,0.0611831
40,12,3,12.9025,4.36563,-0.817015,-0.576616,0.118807,0.46665,-49.5272,0.0452963,0.0319683
41,34,0,12.2071,5.30409,-0.78673,-0.617297,0.0995722,0.455424,-51.7724,0.0356763,0.0279929
41,34,1,12.2992,5.18673,-0.78673,-0.617297,0.186674,0.475909,-47.6752,0.0698932,0.0548407
41,34,2,12.4194,5.0336,-0.78673,-0.617297,0.186674,0.479019,-47.0533,0.0703499,0.055199
41,34,3,12.5115,4.91624,-0.78673,-0.617297,0.0995722,0.463396,-50.1779,0.0363008,0.0284829
42,56,0,13.7752,2.91338,-0.885738,-0.464185,0.131995,0.457748,-51.3076,0.0535165,0.0280462
42,56,1,13.867,2.73822,-0.885738,-0.464185,0.247459,0.469431,-48.971,0.102892,0.0539219
